provincia,localidad,empresa,empresabandera,producto,fecha_vigencia,precio,fecha_descarga,precio_usd,dolar_bn
BUENOS AIRES,9 DE ABRIL,GNC OLIMPO S.R.L.,DAPSA S.A.,Nafta (súper) entre 92 y 95 Ron,2026-03-01 17:50:00,1682.0,2026-03-03,1.1721,1435.0
BUENOS AIRES,9 DE ABRIL,P. ZUCCO Y CIA. SA,YPF,GNC,2025-03-11 14:00:00,546.0,2026-03-03,0.3805,1435.0
BUENOS AIRES,9 DE ABRIL,P. ZUCCO Y CIA. SA,YPF,Gas Oil Grado 2,2025-06-01 00:00:00,1195.0,2026-03-03,0.8328,1435.0
BUENOS AIRES,9 DE ABRIL,P. ZUCCO Y CIA. SA,YPF,Gas Oil Grado 3,2025-06-01 00:00:00,1375.0,2026-03-03,0.9582,1435.0
BUENOS AIRES,9 DE ABRIL,P. ZUCCO Y CIA. SA,YPF,Nafta (premium) de más de 95 Ron,2025-06-01 00:00:00,1435.0,2026-03-03,1.0,1435.0
BUENOS AIRES,9 DE ABRIL,P. ZUCCO Y CIA. SA,YPF,Nafta (súper) entre 92 y 95 Ron,2025-06-01 00:00:00,1215.0,2026-03-03,0.8467,1435.0
BUENOS AIRES,9 DE ABRIL,SERVICIOS ECHEVERRIA SRL,AXION,GNC,2024-10-07 13:52:00,496.0,2026-03-03,0.3456,1435.0
BUENOS AIRES,9 DE ABRIL,SERVICIOS ECHEVERRIA SRL,AXION,Gas Oil Grado 2,2024-10-07 13:52:00,1158.0,2026-03-03,0.807,1435.0
BUENOS AIRES,9 DE ABRIL,SERVICIOS ECHEVERRIA SRL,AXION,Gas Oil Grado 3,2024-10-07 13:52:00,1357.0,2026-03-03,0.9456,1435.0
BUENOS AIRES,9 DE ABRIL,SERVICIOS ECHEVERRIA SRL,AXION,Nafta (premium) de más de 95 Ron,2024-10-07 13:53:00,1378.0,2026-03-03,0.9603,1435.0
BUENOS AIRES,9 DE ABRIL,SERVICIOS ECHEVERRIA SRL,AXION,Nafta (súper) entre 92 y 95 Ron,2024-10-07 13:53:00,1118.0,2026-03-03,0.7791,1435.0
BUENOS AIRES,9 DE JULIO,AUTOMOVIL CLUB ARGENTINO,BLANCA,Gas Oil Grado 3,2025-02-01 00:01:00,1466.0,2026-03-03,1.0216,1435.0
BUENOS AIRES,9 DE JULIO,AUTOMOVIL CLUB ARGENTINO,BLANCA,Nafta (premium) de más de 95 Ron,2025-02-01 00:01:00,1497.0,2026-03-03,1.0432,1435.0
